company_name,google_name,rating,total_ratings,review_count,status
RJR management LLC,R B Management Services,1,2,2,success
N DA BOWL LLC,N Da Bowl,5,46,5,success
MERIDA,PREP Kitchens ATL South,5,6,5,success
2 Amigos Tacos ATL,2 Amigos Tacos ATL,4.4,180,5,success
MISTER SOFTEE ATLANTA,Big Softie,4.5,575,5,success
"Spreading the Health, LLC",Spreading The Health Juice Bar,4.6,64,5,success
Starbucks Coffee#68261,Starbucks,3.9,54,5,success
Tasty Sausage LLC,Stuffed-Tastic,5,4,4,success
Sassy's,Sassy’s Cafe,5,7,5,success
Munchiez,Greenbriar Commons,3,120,5,success
Rujann's Eatery LLC,Rujann Eatery,,,0,success
Sweet but Sassy,Sassy’s Cafe,5,7,5,success
MAMA JANE SEAFOOD LLC,Mama Jane’s Seafood,,,0,success
Good As Burgers LLC,GOOD AS BURGERS,4.4,151,5,success
Life Bistro,Life Bistro,4.2,1389,5,success
Be coffee tea wine bar LLC,Be Coffee Tea Wine Cafe,4.3,42,5,success
Avenue,Avenue Kitchen & Cocktail,4.5,126,5,success
Popeyes #14804,Popeyes Louisiana Kitchen,3.2,161,5,success
Marcy&#8217;s Soup Shop,Souper Jenny Westside,4.7,431,5,success
The Kitchen Gallery Dept,Design Galleria Kitchen and Bath Studio,4.1,9,5,success
DYT FOODS LLC,Trinity Pharmacy,4,27,5,success
Burger NANYS 5 LLC,NANY'S BURGER,4.2,9,5,success
Love at First Bite,Love at First Bite ATL Brunch,4.2,606,5,success
HAPPY WING'S & THINGS LLC,Happy Wings,4.3,295,5,success
Rodney Scott's BBQ,Rodney Scott's BBQ,4.1,1496,5,success
The Ranch LLC,PREP Kitchens ATL South,5,6,5,success
The Creamy Spot,The Creamy Spot,4.4,31,5,success
Greedyman's Bar B Que & Grill,Greedyman's Bar B Que & Grill Food Truck & Catering,4.8,470,5,success
POP ICE CREAM LLC,King of Pops Worldwide HQ,4.9,38,5,success
The sNO-Man,The sNO-Man,4.9,29,5,success
Dips Kitchen,Dips Kitchen Krog Street,4.5,31,5,success
Glaciers Italian Ice,Glaciers Italian Ice,4.9,207,5,success
Popeye's Louisiana Kitchen,Popeyes Louisiana Kitchen,3,148,5,success
La Neta Mexican Food,La Neta Food Truck,4.2,37,5,success
Trap City Cafe,Trap City Cafe,4,1970,5,success
Windell's Seafood LLC,1475 Atlanta Industrial Way NW,,,0,success
"Rickette's World Famous Chicken , Fish , and BBQ",Rickettes World Famous Chicken fish & Bbq Chicago style,4.4,741,5,success
OMG! That's Good!,OMG! Thats Good!,4.7,49,5,success
Authentic Steak & Seafood,Authentic Steak & Seafood Inc,3.3,63,5,success
Everythang Nola LLC,Everythang Nola,4.6,492,5,success
Shell Food Mart,Shell,4,173,5,success
Soul Good Fine Food,Soul Good Fine Food,4.1,753,5,success
NEW AMERICAN INN,American Inn & Suites,2.6,389,5,success
FAIR STREET SUPERMARKET,Fair Street Market,3,4,4,success
FISH CLUB,Fish club at greenbriar,3.9,17,5,success
J J RIB SHACK AL TIN TEX INC,JJ's Rib Shack,3.8,915,5,success
CHINA CAFETERIA,China Cafeteria,4,469,5,success
HAN'S II CHINESE CARRY OUT,Han's II Chinese Carry Out,4.1,438,5,success
CHINA KING,China King,3.9,278,5,success
AMERICAN SANDWICH,American Sandwich,4.5,93,5,success
RAHIM CHICKEN SUPREME,Rahim Chicken Supreme,4.6,572,5,success
J & J FISH & CHICKEN,JJ Fish & Chicken,4.4,2598,5,success
MEMEZZ RESTAURANT,Memezz Restaurant,4.5,518,5,success
POPEYE'S CHICKEN & BISCUITS,Popeyes Louisiana Kitchen,3.7,2577,5,success
BTJ WINGS,BTJ Wings,4.2,458,5,success
YUMMIES BY KAISAGE,Yummies Cafe,4.4,656,5,success
GC INGREDIENTS INC,GC Ingredients Inc,4.2,36,5,success
TREDERICK GRILL,Trederick's Seafood & Grill,3.7,464,5,success
BELIEVE,Believe Music Hall,4.4,1006,5,success
POPEYE'S CHICKEN & BISCUITS,Popeyes Louisiana Kitchen,3.7,1604,5,success
LUCKY CHINA 8 CHINESE RESTAURA,Lucky China 8 Chinese Restaurant,1.7,503,5,success
BEARLY AWAKE BISTRO,Love at First Bite ATL Brunch,4.2,606,5,success
SLIM AND HUSKY'S,Slim & Husky's Pizza Beeria (Adair Park),4.4,1677,5,success
